Symbols,Unnamed: 1,total,square_total,instances
20MICRONS,,0,0,0
21STCENMGM,,0,0,0
3IINFOTECH,,2,2,2
3MINDIA,,0,0,0
3PLAND,,0,0,0
5PAISA,,0,0,0
63MOONS,,0,0,0
8KMILES,,2,2,2
A2ZINFRA,,1,1,1
AANCHALISP,,0,0,0
AARTIDRUGS,,2,2,2
AARTIIND,,1,1,1
AARVEEDEN,,0,0,0
ABAN,,1,1,1
ABB,,7,7,7
ABBOTINDIA,,0,0,0
ABCAPITAL,,5,5,5
ABFRL,,5,5,5
ABMINTLTD,,0,0,0
ACC,,9,13,7
ACCELYA,,0,0,0
ACE,,2,2,2
ADANIENT,,6,8,5
ADANIGREEN,,3,3,3
ADANIPORTS,,5,5,5
ADANIPOWER,,9,11,8
ADANITRANS,,3,3,3
ADFFOODS,,0,0,0
ADHUNIK,,1,1,1
ADHUNIKIND,,0,0,0
ADLABS,,1,1,1
ADORWELD,,0,0,0
ADROITINFO,,1,1,1
ADSL,,1,1,1
ADVANIHOTR,,0,0,0
ADVENZYMES,,0,0,0
AEGISCHEM,,0,0,0
AEGISLOG,,0,0,0
AFL,,0,0,0
AGARIND,,0,0,0
AGCNET,,4,4,4
AGIIL,,1,1,1
AGLSL,,0,0,0
AGRITECH,,2,2,2
AHLEAST,,2,2,2
AHLUCONT,,1,1,1
AHLWEST,,2,2,2
AIAENG,,0,0,0
AICHAMP,,1,1,1
AIFL,,0,0,0
AJANTPHARM,,0,0,0
AJMERA,,1,1,1
AKSCHEM,,0,0,0
AKSHARCHEM,,0,0,0
AKSHOPTFBR,,0,0,0
AKZOINDIA,,0,0,0
ALANKIT,,1,1,1
ALBERTDA,,0,0,0
ALBERTDAVD,,0,0,0
ALBK,,10,10,10
ALCHEM,,1,1,1
ALEMBICLTD,,9,9,9
ALICON,,0,0,0
ALKALI,,1,1,1
ALKEM,,2,4,1
ALKYLAMINE,,0,0,0
ALLCARGO,,1,1,1
ALLSEC,,3,3,3
ALMONDZ,,0,0,0
ALOKTEXT,,0,0,0
ALPA,,0,0,0
ALPHAGEO,,0,0,0
ALPSINDUS,,2,2,2
AMARAJABAT,,4,4,4
AMBER,,0,0,0
AMBIKCO,,0,0,0
AMBITION,,0,0,0
AMBUJACEM,,2,2,2
AMDIND,,0,0,0
AMJLAND,,0,0,0
AMRUTANJAN,,1,1,1
ANANTRAJ,,0,0,0
ANDHRABANK,,4,4,4
ANDHRACEMT,,0,0,0
ANDHRSUGAR,,0,0,0
ANDREWYU,,0,0,0
ANGIND,,1,1,1
