20MICRONS,20 MICRONS  
21STCENMGM,TWENTYFIRST CENTURY MANAG
3IINFOTECH,3I INFOTECH  
3MINDIA,3M INDIA  
3PLAND,3P LAND HOLDINGS  
5PAISA,5paisa Capital     
63MOONS,63 Moons Technologies   
8KMILES,8K MILES SOFTWARE SERVICE
A2ZINFRA,A2Z INFRA ENGINEERING   
AANCHALISP,Aanchal Ispat     
AARTIDRUGS,AARTI DRUGS  
AARTIIND,AARTI INDUSTRIES  
AARVEEDEN,AARVEE DENIMS & EXPORTS  
ABAN,ABAN OFFSHORE  
ABB,ABB INDIA     
ABBOTINDIA,ABBOTT INDIA  
ABCAPITAL,Aditya Birla Capital 
ABFRL,Aditya Birla Fashion and Retail
ABMINTLTD,ABM INTERNATIONAL 
ACC,ACC  
ACCELYA,ACCELYA KALE SOLUTIONS    
ACE,ACTION CONSTRUCTION EQUIP
ADANIENT,ADANI ENTERPRISES  
ADANIGREEN,ADANI GREEN ENERGY 
ADANIPORTS,ADANI PORTS AND SPECIAL ECONOMIC ZONE
ADANIPOWER,ADANI POWER  
ADANITRANS,Adani Transmission     
ADFFOODS,ADF FOODS  
ADHUNIK,ADHUNIK METALIKS  
ADHUNIKIND,ADHUNIK INDUSTRIES 
ADLABS,Adlabs Entertainment   
ADORWELD,ADOR WELDING  
ADROITINFO,Adroit Infotech     
ADSL,ALLIED DIGITAL SERVICES  
ADVANIHOTR,ADVANI HOTELS & RESORTS
ADVENZYMES,Advanced Enzyme Technolog
AEGISCHEM,AEGIS LOGISTICS     
AEGISLOG,AEGIS LOGISTICS  
AFL,ACCEL FRONTLINE  
AGARIND,AGARWAL INDUSTRIAL CORPOR
AGCNET,AGC NETWORKS     
AGIIL,AGI Infra     
AGLSL,ARTEM GLOBAL LIFE SC 
AGRITECH,AGRI- TECH (INDIA) 
AHLEAST,ASIAN HOTELS (EAST)  
AHLUCONT,AHLUWALIA CONTRACTS (INDI
AHLWEST,ASIAN HOTELS (WEST) 
AIAENG,AIA ENGINEERING  
AICHAMP,AI CHAMPDANY INDS 
AIFL,ASHAPURA INTIMATES FASHIO
AJANTPHARM,AJANTA PHARMA  
AJMERA,AJMERA REALTY & INFRA IND
AKSCHEM,AKSHARCHEM (INDIA)  
AKSHARCHEM,AKSHARCHEM INDIA     
AKSHOPTFBR,AKSH OPTIFIBRE  
AKZOINDIA,AKZO NOBEL INDIA     
ALANKIT,ALANKIT
ALBERTDA,ALBERT DAVID  
ALBERTDAVD,ALBERT DAVID     
ALBK,ALLAHABAD BANK 
ALCHEM,ALCHEMIST 
ALEMBICLTD,ALEMBIC  
ALICON,ALICON CASTALLOY     
ALKALI,ALKALI METALS  
ALKEM,Alkem Laboratories    
ALKYLAMINE,ALKYL AMINES CHEMICALS    
ALLCARGO,ALLCARGO LOGISTICS  
ALLSEC,ALLSEC TECHNOLOGIES  
ALMONDZ,ALMONDZ GLOBAL SEC 
ALOKTEXT,ALOK INDUSTRIES 
ALPA,ALPA LABORATORIES  
ALPHAGEO,ALPHAGEO (INDIA)  
ALPSINDUS,ALPS INDUSTRIES  
AMARAJABAT,AMARA RAJA BATTERIES  
AMBER,Amber Enterprises India  
AMBIKCO,AMBIKA COTTON MILLS  
AMBITION,Ambition Mica     
AMBUJACEM,AMBUJA CEMENTS  
AMDIND,AMD INDUSTRIES  
AMJLAND,AMJ LAND HOLDINGS     
AMRUTANJAN,AMRUTANJAN HEALTH CARE 
ANANTRAJ,ANANT RAJ     
ANDHRABANK,ANDHRA BANK 
ANDHRACEMT,ANDHRA CEMENTS     
ANDHRSUGAR,ANDHRA SUGARS  
ANDREWYU,ANDREW YULE & COMPANY 
ANGIND,ANG INDUSTRIES     
ANIKINDS,ANIK INDUSTRIES 
ANKITMETAL,ANKIT MET & POW 
ANSALAPI,ANSAL PROPERTIES & INFRAS
ANSALHSG,ANSAL HOUSING & CONSTRUCT
ANTGRAPHIC,ANTARCTICA 
APARINDS,APAR INDUSTRIES  
APCL,ANJANI PORTLAND CEMENT    
APCOTEXIND,APCOTEX INDUSTRIES  
APEX,Apex Frozen Foods     
APLAPOLLO,APL APOLLO TUBES  
APLLTD,ALEMBIC PHARMACEUTICALS  
APOLLO,Apollo Micro Systems   
APOLLOHOSP,APOLLO HOSPITALS ENTERPRI
APOLLOTYRE,APOLLO TYRES  
APOLSINHOT,APOLLO SINDOORI HOTEL 
APTECHT,APTECH  
ARCHIDPLY,ARCHIDPLY INDUSTRIES  
ARCHIES,ARCHIES 
ARCOTECH,ARCOTECH  
ARENTERP,RAJDARSHAN INDUSTRIES 
ARIES,ARIES AGRO  
ARIHANT,ARIHANT FOUNDATIONS & HOU
ARIHANTSUP,ARIHANT SUPERSTRUCT 
ARMANFIN,ARMAN FIN SERV 
AROGRANITE,ARO GRANITE INDUSTRIES    
ARROWGREEN,Arrow Greentech     
ARROWTEX,ARROW TEXTILES  
ARSHIYA,ARSHIYA     
ARSSINFRA,ARSS INFRA PROJ. 
ARTEMIS,Artemis Global Life Scien
ARVIND,ARVIND  
ARVSMART,Arvind SmartSpaces    
ASAHIINDIA,ASAHI INDIA GLASS  
ASAHISONG,ASAHI SONGWON COLORS  
ASAL,AUTOMOTIVE STAMPINGS & AS
ASHAPURMIN,ASHAPURA MINECHEM  
ASHFL,Akme Star Housing Finance
ASHIANA,ASHIANA HOUSING  
ASHIMASYN,ASHIMA  
ASHOKA,ASHOKA BUILDCON  
ASHOKLEY,ASHOK LEYLAND  
ASIANHOTNR,ASIAN HOTELS (NORTH)   
ASIANPAINT,ASIAN PAINTS  
ASIANTILES,ASIAN GRANITO INDIA  
ASL,ARIHANT SUPERSTRUCTURES  
ASPINWALL,ASPINWALL & CO 
ASSAMCO,ASSAM COMPANY (INDIA)   
ASTAR,ASIAN STAR CO. 
ASTEC,ASTEC LIFESCIENCES    
ASTERDM,Aster DM Healthcare    
ASTRAL,ASTRAL POLY TECHNIK  
ASTRAMICRO,ASTRA MICROWAVE PRODUCTS 
ASTRAZEN,ASTRAZENECA PHARMA INDIA 
ASTRON,Astron Paper & Board Mill
ATFL,AGRO TECH FOODS  
ATISHAY,Atishay     
ATLANTA,ATLANTA  
ATLASCYCLE,ATLAS CYCLE (HARYANA) 
ATUL,ATUL  
ATULAUTO,ATUL AUTO  
AUBANK,AU Small Finance Bank   
AURIONPRO,AURIONPRO SOLUTIONS  
AUROPHARMA,AUROBINDO PHARMA  
AUSOMENT,AUSOM ENTERPRISE     
AUTOAXLES,AUTOMOTIVE AXLES  
AUTOIND,AUTOLINE INDUSTRIES  
AUTOLITIND,AUTOLITE (INDIA)  
AVADHSUGAR,AVADH SUGAR & ENERGY   
AVANTI,AVANTI FEEDS  
AVANTIFEED,AVANTI FEEDS     
AVTNPL,AVT NATURAL PRODUCTS  
AXISBANK,AXIS BANK  
AYMSYNTEX,AYM Syntex     
BAFNAPHARM,BAFNA PHARMACEUTICALS  
BAGFILMS,B.A.G.FILMS & MEDIA  
BAJAJ-AUTO,BAJAJ AUTO  
BAJAJCORP,BAJAJ CORP  
BAJAJELEC,BAJAJ ELECTRICALS  
BAJAJFINSV,BAJAJ FINSERV  
BAJAJHIND,BAJAJ HINDUSTHAN SUGAR    
BAJAJHLDNG,BAJAJ HOLDINGS & INVESTME
BAJFINANCE,BAJAJ FINANCE     
BALAJITELE,BALAJI TELEFILMS  
BALAMINES,BALAJI AMINES  
BALAXI,BALAXI VENTURES     
BALKRISHNA,Balkrishna Paper Mills    
BALKRISIND,BALKRISHNA INDUSTRIES 
BALLARPUR,BALLARPUR INDUSTRIES  
BALMLAWRIE,BALMER LAWRIE & CO. 
BALPHARMA,BAL PHARMA  
BALRAMCHIN,BALRAMPUR CHINI MILLS 
BANARBEADS,BANARAS BEADS  
BANARISUG,BANNARI AMMAN SUGARS  
BANCOINDIA,BANCO PRODUCTS (INDIA)    
BANDHANBNK,Bandhan Bank     
BANG,BANG OVERSEAS  
BANKBARODA,BANK OF BARODA
BANKINDIA,BANK OF INDIA
BANSWRAS,BANSWARA SYNTEX  
BARTRONICS,BARTRONICS INDIA     
BASF,BASF INDIA  
BASML,BANNARI AMMAN SPINNING MI
BATAINDIA,BATA INDIA  
BAYERCROP,BAYER CROPSCIENCE  
BBL,BHARAT BIJLEE  
BBTC,BOMBAY BURMAH TRADING COR
BCP,B.C. POWER CONTROLS 
BDL,Bharat Dynamics     
BEARDSELL,BEARDSELL     
BEDMUTHA,BEDMUTHA INDUST 
BEL,BHARAT ELECTRONICS  
BELLACASA,Bella Casa Fashion & Reta
BEML,BEML  
BENGALASM,BENGAL & ASSAM COMPANY    
BEPL,BHANSALI ENGINEERING POLY
BERGEPAINT,BERGER PAINTS INDIA  
BFINVEST,BF INVESTMENT  
BFUTILITIE,BF UTILITIES  
BGLOBAL,BHARATIYA GLOBAL INFO 
BGRENERGY,BGR ENERGY SYSTEMS  
BHAGERIA,BHAGERIA INDUSTRIES 
BHAGIL,Bhageria Industries    
BHAGYANGR,BHAGYANAGAR INDIA     
BHAGYAPROP,BHAGYANAGAR PRO 
BHAGYNAGAR,BHAGYANAGAR INDIA  
BHANDARI,BHANDARI HOSIERY EXP 
BHANDHOS,BHANDARI HOSIERY EXPORTS 
BHARATFIN,Bharat Financial Inclusio
BHARATFORG,BHARAT FORGE  
BHARATGEAR,BHARAT GEARS  
BHARATRAS,BHARAT RASAYAN  
BHARATWIRE,Bharat Wire Ropes     
BHARTIARTL,BHARTI AIRTEL  
BHEL,BHARAT HEAVY ELECTRICALS 
BHUSANSTL,BHUSHAN STEEL  
BIGBLOC,Bigbloc Construction   
BIL,BHARTIYA INTERNATIONAL    
BILENERGY,BIL ENERGY SYSTEMS 
BILPOWER,BILPOWER     
BINANIIND,BINANI INDUSTRIES  
BINDALAGRO,Oswal Greentech     
BIOCON,BIOCON  
BIOFILCHEM,BIOFIL CHEM & PHARMA  
BIRLACABLE,BIRLA CABLE     
BIRLACORPN,BIRLA CORPORATION  
BIRLAMONEY,ADITYA BIRLA MONEY 
BKMINDST,BKM INDUSTRIES     
BLBLIMITED,BLB     
BLIL,BALMER LAWRIE INVESTMENTS
BLISSGVS,BLISS GVS PHARMA  
BLKASHYAP,B. .KASHYAP AND SONS  
BLS,BLS International Service
BLUBLND-B,BLUE BLENDS (INDIA)  
BLUEBLENDS,BLUE BLENDS (I) 
BLUECHIP,BLUE CHIP INDIA     
