Link,Source,Category,FeedType,Country
https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146842.cms,Economic Times,Stock Market,News,IND
https://economictimes.indiatimes.com/markets/ipos/fpos/rssfeeds/14655708.cms,Economic Times,IPO,News,IND
https://economictimes.indiatimes.com/markets/market-moguls/rssfeeds/54953131.cms,Economic Times,Stock Market,News,IND
https://economictimes.indiatimes.com/markets/expert-view/rssfeeds/50649960.cms,Economic Times,Expert Views,News,IND
https://economictimes.indiatimes.com/markets/commodities/rssfeeds/1808152121.cms,Economic Times,Commodity,News,IND
https://economictimes.indiatimes.com/markets/forex/rssfeeds/1150221130.cms,Economic Times,Forex,News,IND
https://economictimes.indiatimes.com/markets/bonds/rssfeeds/2146846.cms,Economic Times,Bonds,News,IND
https://economictimes.indiatimes.com/rsssymbolfeeds/commodityname-Gold.cms,Economic Times,Gold,News,IND
https://economictimes.indiatimes.com/nri/nri-investments/rssfeeds/7771289.cms,Economic Times,NRI Investments,News,IND
https://economictimes.indiatimes.com/wealth/mutual-funds/rssfeeds/49995327.cms,Economic Times,Mutual Funds,News,IND
https://economictimes.indiatimes.com/wealth/et-wealth/rssfeeds/50943048.cms,Economic Times,ET Wealth,News,IND
https://economictimes.indiatimes.com/wealth/invest/rssfeeds/48997553.cms,Economic Times,Invest,News,IND
https://economictimes.indiatimes.com/industry/auto/rssfeeds/13359412.cms,Economic Times,Auto,News,IND
https://economictimes.indiatimes.com/industry/banking/finance/rssfeeds/13358259.cms,Economic Times,Banking/Finance,News,IND
https://economictimes.indiatimes.com/industry/energy/rssfeeds/13358350.cms,Economic Times,Energy,News,IND
https://economictimes.indiatimes.com/industry/healthcare/biotech/rssfeeds/13358050.cms,Economic Times,Healthcare/Biotech,News,IND
https://economictimes.indiatimes.com/news/economy/rssfeeds/1373380680.cms,Economic Times,Economy,News,IND
https://economictimes.indiatimes.com/et-now/stocks/rssfeedsvideo/4413765.cms,Economic Times,Stocks,Video,IND
https://economictimes.indiatimes.com/et-now/markets/rssfeedsvideo/4413330.cms,Economic Times,Markets,Video,IND
https://economictimes.indiatimes.com/et-now/finance/rssfeedsvideo/4413774.cms,Economic Times,Finance,Video,IND
https://economictimes.indiatimes.com/et-now/commodities/rssfeedsvideo/4413784.cms,Economic Times,Commodity,Video,IND
https://economictimes.indiatimes.com/et-now/results/rssfeedsvideo/4413789.cms,Economic Times,Results,Video,IND
http://www.moneycontrol.com/rss/MCtopnews.xml,Moneycontrol,Trending,News,IND
http://www.moneycontrol.com/rss/mostpopular.xml,Moneycontrol,Trending,News,IND
http://www.moneycontrol.com/rss/business.xml,Moneycontrol,Finance,News,IND
http://www.moneycontrol.com/rss/pfcolumns.xml,Moneycontrol,Stock Market,News,IND
http://www.moneycontrol.com/rss/mfcolumns.xml,Moneycontrol,Stock Market,News,IND
http://www.moneycontrol.com/rss/buzzingstocks.xml,Moneycontrol,Stock Market,News,IND
http://www.moneycontrol.com/rss/economy.xml,Moneycontrol,Finance,News,IND
http://www.moneycontrol.com/rss/marketreports.xml,Moneycontrol,Stock Market,News,IND
http://www.moneycontrol.com/rss/indianadrs.xml,Moneycontrol,Stock Market,News,IND
http://www.moneycontrol.com/rss/internationalmarkets.xml,Moneycontrol,Stock Market,News,IND
http://www.moneycontrol.com/rss/marketedge.xml,Moneycontrol,Stock Market,News,IND
http://www.moneycontrol.com/rss/marketoutlook.xml,Moneycontrol,Stock Market,News,IND
http://www.moneycontrol.com/rss/technicals.xml,Moneycontrol,Stock Market,News,IND
http://www.moneycontrol.com/rss/iponews.xml,Moneycontrol,IPO,News,IND
http://www.moneycontrol.com/rss/commodities.xml,Moneycontrol,Stock Market,News,IND
http://www.moneycontrol.com/rss/results.xml,Moneycontrol,Stock Market,News,IND
http://www.moneycontrol.com/rss/worldnews.xml,Moneycontrol,Stock Market,News,IND
http://www.moneycontrol.com/rss/currentaffairs.xml,Moneycontrol,Trending,News,IND
http://www.moneycontrol.com/rss/currency.xml,Moneycontrol,Stock Market,News,IND
http://www.moneycontrol.com/rss/topvideos.xml,Moneycontrol,Trending,Video,IND
https://news.google.com/news/rss/headlines/section/topic/BUSINESS.en_in/Business?ned=in&hl=en-IN,Google,Business,News,IND
